Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kabupaten Aceh Barat,Meulaboh,"2782,87",198858,12
Kabupaten Aceh Barat Daya,Blangpidie,"1882,28",153515,9
Kabupaten Aceh Besar,Kota Jantho,"2891,48",422241,23
Kabupaten Aceh Jaya,Calang,"3872,35",96049,9
Kabupaten Aceh Selatan,Tapak Tuan,"4175,38",234169,18
Kabupaten Aceh Singkil,Singkil,"1852,82",129674,11
Kabupaten Aceh Tamiang,Karang Baru,"2187,66",301800,12
Kabupaten Aceh Tengah,Takengon,"4468,42",219744,14
Kabupaten Aceh Tenggara,Kutacane,"4179,12",227921,16
Kabupaten Aceh Timur,Idi Rayeuk,"5409,41",434929,24
Kabupaten Aceh Utara,Lhoksukon,"2705,26",609705,27
Kabupaten Bener Meriah,Simpang Tiga Redelong,"1907,4",168469,10
Kabupaten Bireuen,Bireuen,"1796,99",445503,17
Kabupaten Gayo Lues,Blang Kejeren,"5541,29",101955,11
Kabupaten Nagan Raya,Suka Makmue,"3524,16",172827,10
Kabupaten Pidie,Sigli,"3177,49",436796,23
Kabupaten Pidie Jaya,Meureudu,939,160272,8
Kabupaten Simeulue,Sinabang,"1821,75",94560,10
Kota Banda Aceh,,"56,77",254024,9
Kota Langsa,,"224,24",186075,5
Kota Lhokseumawe,,"132,97",191688,4
Kota Sabang,,"122,06",42867,3
Kota Subulussalam,,"1183,6",96296,5
Kabupaten Asahan,Kisaran,"3737,83",791174,"70,49"
Kabupaten Batu Bara,Limapuluh,"888,14",443816,"68,58"
Kabupaten Dairi,Sidikalang,"2083,6",319583,"71,84"
Kabupaten Deli Serdang,Lubuk Pakam,"2581,23",1991108,"75,53"
Kabupaten Humbang Hasundutan,Dolok Sanggul,"2351,51",204377,"69,41"
Kabupaten Karo,Kabanjahe,"2206,88",410465,"74,83"
Kabupaten Labuhanbatu,Rantau Prapat,"2772,38",505875,"72,09"
Kabupaten Labuhanbatu Selatan,Kota Pinang,"3079,61",325451,"71,69"
Kabupaten Labuhanbatu Utara,Aek Kanopan,"3686,01",396555,"71,87"
Kabupaten Langkat,Stabat,"6140,04",1084108,"71,35"
Kabupaten Mandailing Natal,Panyabungan,"6547,26",491005,"67,19"
Kabupaten Nias,Gido,"902,4",145644,"62,74"
Kabupaten Nias Barat,Lahomi,"464,22",96938,"61,99"
Kabupaten Nias Selatan,Teluk Dalam,"2531,7",367970,"62,35"
Kabupaten Nias Utara,Lotu,"1238,06",152378,"62,82"
Kabupaten Padang Lawas,Sibuhuan,"3914,41",264041,"68,64"
Kabupaten Padang Lawas Utara,Gunung Tua,"3945,56",270595,"70,11"
Kabupaten Pakpak Bharat,Salak,"1365,61",55550,"67,94"
Kabupaten Samosir,Pangururan,"1850,04",142318,"70,83"
Kabupaten Serdang Bedagai,Sei Rampah,"1949,18",669746,"70,56"
Kabupaten Simalungun,Raya,"4601,48",1039056,"73,4"
Kabupaten Tapanuli Selatan,Sipirok,"4201,04",315713,"70,33"
Kabupaten Tapanuli Tengah,Pandan,"2307,68",366361,"69,61"
Kabupaten Tapanuli Utara,Tarutung,"3895,6",321514,"73,76"
Kabupaten Toba,Balige,"2291,62",213924,"75,39"
Kota Binjai,,"93,77",300499,"76,01"
Kota Gunungsitoli,,"208,68",137249,"69,61"
Kota Medan,,"279,29",2527050,"81,21"
Kota Padangsidimpuan,,"159,3",228744,"75,48"
Kota Pematangsiantar,,"75,92",274278,"79,17"
Kota Sibolga,,"11,47",95527,"73,94"
Kota Tanjungbalai,,"60,07",179589,"68,94"
Kota Tebing Tinggi,,"39,17",177029,"75,42"
Kabupaten Agam,Lubuk Basung,"2226,27",525136,"72,57"
Kabupaten Dharmasraya,Pulau Punjung,"2920,93",228801,"71,76"
Kabupaten Kepulauan Mentawai,Tua Pejat,"5983,22",91694,"61,35"
Kabupaten Lima Puluh Kota,Sarilamak,"3273,41",389837,"69,68"
Kabupaten Padang Pariaman,Parit Malintang,"1342,27",441688,"70,76"
Kabupaten Pasaman,Lubuk Sikaping,"3902,44",302271,"66,77"
Kabupaten Pasaman Barat,Simpang Ampek,"3852,99",437512,"68,76"
Kabupaten Pesisir Selatan,Painan,"6045,65",516600,"70,03"
Kabupaten Sijunjung,Muaro Sijunjung,"3150,58",240469,"67,86"
Kabupaten Solok,Arosuka,"3590,4",397276,"69,24"
Kabupaten Solok Selatan,Padang Aro,"3282,14",182181,"69,23"
Kabupaten Tanah Datar,Batusangkar,"1377,19",375327,"72,46"
Kota Bukittinggi,,"24,17",131817,"80,7"
Kota Padang,,"694,38",919660,"82,9"
Kota Padang Panjang,,"23,56",60449,"77,97"
Kota Pariaman,,"64,77",96733,"77,07"
Kota Payakumbuh,,"74,55",141813,"79,08"
Kota Sawahlunto,,"231,95",67344,"72,88"
Kota Solok,,"58,72",77535,"78,41"
Kabupaten Bengkalis,Bengkalis,"8616,36",634553,"73,58"
